Ticker,Company Name
A,"Agilent Technologies, Inc."
AA,Alcoa Corporation
AACG,ATA Creativity Global
AACT,Ares Acquisition Corporation II
AADI,"Aadi Bioscience, Inc."
AAME,Atlantic American Corporation
AAL,American Airlines Group Inc.
AAM,AA Mission Acquisition Corp.
AAOI,"Applied Optoelectronics, Inc."
AAON,"AAON, Inc."
AAP,"Advance Auto Parts, Inc."
AAPL,Apple Inc.
AAT,"American Assets Trust, Inc."
AB,AllianceBernstein Holding L.P.
ABAT,American Battery Technology Company
ABBV,AbbVie Inc.
ABCB,Ameris Bancorp
ABCL,AbCellera Biologics Inc.
ABEO,Abeona Therapeutics Inc.
ABEV,Ambev S.A.
ABG,"Asbury Automotive Group, Inc."
ABL,"Abacus Life, Inc."
ABLV,Able View Global Inc.
ABM,ABM Industries Incorporated
ABNB,"Airbnb, Inc."
ABOS,"Acumen Pharmaceuticals, Inc."
ABP,"Abpro Holdings, Inc."
ABR,"Arbor Realty Trust, Inc."
ABSI,Absci Corporation
ABT,Abbott Laboratories
ABTS,Abits Group Inc.
ABUS,Arbutus Biopharma Corporation
ABVC,"ABVC BioPharma, Inc."
ABVE,Above Food Ingredients Inc.
ABVX,ABIVAX Société Anonyme
AC,"Associated Capital Group, Inc."
ACA,"Arcosa, Inc."
ACAD,ACADIA Pharmaceuticals Inc.
ACB,Aurora Cannabis Inc.
ACCD,"Accolade, Inc."
ACCO,ACCO Brands Corporation
ACDC,ProFrac Holding Corp.
ACEL,"Accel Entertainment, Inc."
ACET,"Adicet Bio, Inc."
ACGL,Arch Capital Group Ltd.
ACHC,"Acadia Healthcare Company, Inc."
ACHL,Achilles Therapeutics plc
ACHR,Archer Aviation Inc.
ACHV,"Achieve Life Sciences, Inc."
ACI,"Albertsons Companies, Inc."
ACIC,American Coastal Insurance Corporation
ACIU,AC Immune SA
ACIW,"ACI Worldwide, Inc."
ACLS,"Axcelis Technologies, Inc."
ACLX,"Arcellx, Inc."
ACM,AECOM
ACMR,"ACM Research, Inc."
ACN,Accenture plc
ACNB,ACNB Corporation
ACNT,Ascent Industries Co.
ACOG,Alpha Cognition Inc.
ACON,"Aclarion, Inc."
ACR,ACRES Commercial Realty Corp.
ACRE,Ares Commercial Real Estate Corporation
ACRS,"Aclaris Therapeutics, Inc."
ACRV,"Acrivon Therapeutics, Inc."
ACT,"Enact Holdings, Inc."
ACTG,Acacia Research Corporation
ACTU,"Actuate Therapeutics, Inc."
ACU,Acme United Corporation
ACVA,ACV Auctions Inc.
ACXP,"Acurx Pharmaceuticals, Inc."
ADAG,Adagene Inc.
ADAP,Adaptimmune Therapeutics plc
ADBE,Adobe Inc.
ADC,Agree Realty Corporation
ADCT,ADC Therapeutics SA
ADD,"Color Star Technology Co., Ltd."
ADEA,Adeia Inc.
ADGM,"Adagio Medical Holdings, Inc."
ADI,"Analog Devices, Inc."
ADIL,"Adial Pharmaceuticals, Inc."
ADM,Archer-Daniels-Midland Company
ADMA,"ADMA Biologics, Inc."
ADN,"Advent Technologies Holdings, Inc."
ADNT,Adient plc
ADP,"Automatic Data Processing, Inc."
ADPT,Adaptive Biotechnologies Corporation
ADSE,ADS-TEC Energy PLC
ADSK,"Autodesk, Inc."
ADT,ADT Inc.
ADTN,"ADTRAN Holdings, Inc."
ADTX,"Aditxt, Inc."
ADUR,Aduro Clean Technologies Inc.
ADUS,Addus HomeCare Corporation
ADV,Advantage Solutions Inc.
ADVM,"Adverum Biotechnologies, Inc."
ADXN,Addex Therapeutics Ltd
AE,"Adams Resources & Energy, Inc."
AEE,Ameren Corporation
AEG,Aegon Ltd.
AEHL,Antelope Enterprise Holdings Limited
AEHR,"Aehr Test Systems, Inc."
AEI,Alset Inc.
AEIS,"Advanced Energy Industries, Inc."
AEM,Agnico Eagle Mines Limited
AEMD,"Aethlon Medical, Inc."
AENT,Alliance Entertainment Holding Corporation
AEO,"American Eagle Outfitters, Inc."
AEON,"AEON Biopharma, Inc."
AEP,"American Electric Power Company, Inc."
AER,AerCap Holdings N.V.
AERT,"Aeries Technology, Inc"
AES,The AES Corporation
AESI,Atlas Energy Solutions Inc.
AEVA,"Aeva Technologies, Inc."
AEYE,"AudioEye, Inc."
AFBI,"Affinity Bancshares, Inc."
AFCG,Advanced Flower Capital Inc.
AFG,"American Financial Group, Inc."
AFJK,"Aimei Health Technology Co., Ltd"
AFL,Aflac Incorporated
AFMD,Affimed N.V.
AFRI,Forafric Global PLC
AFRM,"Affirm Holdings, Inc."
AFYA,Afya Limited
AG,First Majestic Silver Corp.
AGAE,Allied Gaming & Entertainment Inc.
AGCO,AGCO Corporation
AGEN,Agenus Inc.
AGFY,Agrify Corporation
AGI,Alamos Gold Inc.
AGIO,"Agios Pharmaceuticals, Inc."
AGL,"agilon health, inc."
AGM,Federal Agricultural Mortgage Corporation
AGM.A,Federal Agricultural Mortgage Corporation
AGMH,AGM Group Holdings Inc.
AGNC,AGNC Investment Corp.
AGO,Assured Guaranty Ltd.
AGR,"Avangrid, Inc."
AGRI,AgriFORCE Growing Systems Ltd.
AGRO,Adecoagro S.A.
AGS,"PlayAGS, Inc."
AGX,"Argan, Inc."
AGYS,"Agilysys, Inc."
AHCO,AdaptHealth Corp.
AHG,Akso Health Group
AHH,"Armada Hoffler Properties, Inc."
AHR,"American Healthcare REIT, Inc."
AHT,"Ashford Hospitality Trust, Inc."
AI,"C3.ai, Inc."
AIEV,"Thunder Power Holdings, Inc."
AIFF,"Firefly Neuroscience, Inc."
AIFU,AIX Inc.
AIG,"American International Group, Inc."
AIHS,Senmiao Technology Limited
AILE,"iLearningEngines, Inc."
AIM,AIM ImmunoTech Inc.
AIMAU,Aimfinity Investment Corp. I
AIMD,"Ainos, Inc."
AIN,Albany International Corp.
AIOT,"PowerFleet, Inc."
AIP,"Arteris, Inc."
AIR,AAR Corp.
AIRE,reAlpha Tech Corp.
AIRG,"Airgain, Inc."
AIRI,Air Industries Group
AIRJ,AirJoule Technologies Corporation
AIRS,"AirSculpt Technologies, Inc."
AIRT,"Air T, Inc."
AISP,"Airship AI Holdings, Inc."
AIT,"Applied Industrial Technologies, Inc."
AITR,AI Transportation Acquisition Corp
AIV,Apartment Investment and Management Company
AIXI,Xiao-I Corporation
AIZ,"Assurant, Inc."
AJG,Arthur J. Gallagher & Co.
AKA,a.k.a. Brands Holding Corp.
AKAM,"Akamai Technologies, Inc."
AKAN,Akanda Corp.
AKBA,"Akebia Therapeutics, Inc."
AKO.A,Embotelladora Andina S.A.
AKO.B,Embotelladora Andina S.A.
AKR,Acadia Realty Trust
AKRO,"Akero Therapeutics, Inc."
AKTS,"Akoustis Technologies, Inc."
AKTX,"Akari Therapeutics, Plc"
AKYA,"Akoya Biosciences, Inc."
AL,Air Lease Corporation
ALAB,"Astera Labs, Inc."
ALAR,Alarum Technologies Ltd.
ALB,Albemarle Corporation
ALBT,Avalon GloboCare Corp.
ALC,Alcon Inc.
ALCE,Alternus Clean Energy Inc
ALCO,"Alico, Inc."
ALCY,Alchemy Investments Acquisition Corp 1
ALDF,Aldel Financial II Inc.
ALDX,"Aldeyra Therapeutics, Inc."
ALE,"ALLETE, Inc."
ALEC,"Alector, Inc."
ALEX,"Alexander & Baldwin, Inc."
ALF,Centurion Acquisition Corp.
ALG,Alamo Group Inc.
ALGM,"Allegro MicroSystems, Inc."
ALGN,"Align Technology, Inc."
ALGS,"Aligos Therapeutics, Inc."
ALGT,Allegiant Travel Company
ALHC,"Alignment Healthcare, Inc."
ALIT,"Alight, Inc."
ALK,"Alaska Air Group, Inc."
ALKS,Alkermes plc
ALKT,"Alkami Technology, Inc."
ALL,The Allstate Corporation
ALLE,Allegion plc
ALLK,Allakos Inc.
ALLO,"Allogene Therapeutics, Inc."
ALLR,"Allarity Therapeutics, Inc."
ALLT,Allot Ltd.
ALLY,Ally Financial Inc.
ALMS,Alumis Inc.
ALNT,Allient Inc.
ALNY,"Alnylam Pharmaceuticals, Inc."
ALOT,"AstroNova, Inc."
ALRM,"Alarm.com Holdings, Inc."
ALRN,"Aileron Therapeutics, Inc."
ALRS,Alerus Financial Corporation
ALSA,Alpha Star Acquisition Corporation
ALSN,"Allison Transmission Holdings, Inc."
ALT,"Altimmune, Inc."
ALTG,Alta Equipment Group Inc.
ALTI,"AlTi Global, Inc."
ALTM,Arcadium Lithium plc
ALTO,"Alto Ingredients, Inc."
ALTR,Altair Engineering Inc.
ALTS,ALT5 Sigma Corporation
ALUR,Allurion Technologies Inc.
ALV,"Autoliv, Inc."
ALVO,Alvotech
ALVR,"AlloVir, Inc."
ALX,"Alexander's, Inc."
ALXO,ALX Oncology Holdings Inc.
ALZN,"Alzamend Neuro, Inc."
AM,Antero Midstream Corporation
AMAL,Amalgamated Financial Corp.
AMAT,"Applied Materials, Inc."
AMBA,"Ambarella, Inc."
AMBC,"Ambac Financial Group, Inc."
AMBI,Ambipar Emergency Response
AMBO,Ambow Education Holding Ltd.
AMBP,Ardagh Metal Packaging S.A.
AMC,"AMC Entertainment Holdings, Inc."
AMCR,Amcor plc
AMCX,AMC Networks Inc.
AMD,"Advanced Micro Devices, Inc."
AME,"AMETEK, Inc."
AMED,"Amedisys, Inc."
AMG,"Affiliated Managers Group, Inc."
AMGN,Amgen Inc.
AMH,American Homes 4 Rent
AMIX,"Autonomix Medical, Inc."
AMKR,"Amkor Technology, Inc."
AMLI,American Lithium Corp.
AMLX,"Amylyx Pharmaceuticals, Inc."
AMN,"AMN Healthcare Services, Inc."
AMP,"Ameriprise Financial, Inc."
AMPG,"AmpliTech Group, Inc."
AMPH,"Amphastar Pharmaceuticals, Inc."
AMPL,"Amplitude, Inc."
AMPS,"Altus Power, Inc."
AMPX,"Amprius Technologies, Inc."
AMPY,Amplify Energy Corp.
AMR,"Alpha Metallurgical Resources, Inc."
AMRC,"Ameresco, Inc."
AMRK,"A-Mark Precious Metals, Inc."
AMRN,Amarin Corporation plc
AMRX,"Amneal Pharmaceuticals, Inc."
AMS,American Shared Hospital Services
AMSC,American Superconductor Corporation
AMSF,"AMERISAFE, Inc."
AMST,Amesite Inc.
AMT,American Tower Corporation
AMTB,Amerant Bancorp Inc.
AMTD,AMTD IDEA Group
AMTM,"Amentum Holdings, Inc."
AMTX,"Aemetis, Inc."
AMWD,American Woodmark Corporation
AMWL,American Well Corporation
AMX,"América Móvil, S.A.B. de C.V."
AMZN,"Amazon.com, Inc."
AN,"AutoNation, Inc."
ANAB,"AnaptysBio, Inc."
ANDE,"The Andersons, Inc."
ANEB,"Anebulo Pharmaceuticals, Inc."
ANET,"Arista Networks, Inc."
ANF,Abercrombie & Fitch Co.
ANGH,Anghami Inc.
ANGI,Angi Inc.
ANGO,"AngioDynamics, Inc."
ANIK,"Anika Therapeutics, Inc."
ANIP,"ANI Pharmaceuticals, Inc."
ANIX,"Anixa Biosciences, Inc."
ANL,Adlai Nortye Ltd.
ANNX,"Annexon, Inc."
ANRO,"Alto Neuroscience, Inc."
ANSC,Agriculture & Natural Solutions Acquisition Corporation
ANSS,"ANSYS, Inc."
ANTE,AirNet Technology Inc.
ANTX,"AN2 Therapeutics, Inc."
ANVS,"Annovis Bio, Inc."
ANY,Sphere 3D Corp.
AOMR,"Angel Oak Mortgage REIT, Inc."
AON,Aon plc
AORT,"Artivion, Inc."
AOS,A. O. Smith Corporation
AOSL,Alpha and Omega Semiconductor Limited
AOUT,"American Outdoor Brands, Inc."
AP,Ampco-Pittsburgh Corporation
APA,APA Corporation
APAM,Artisan Partners Asset Management Inc.
APCX,AppTech Payments Corp.
APD,"Air Products and Chemicals, Inc."
APDN,"Applied DNA Sciences, Inc."
APEI,"American Public Education, Inc."
APG,APi Group Corporation
APGE,"Apogee Therapeutics, Inc."
APH,Amphenol Corporation
API,"Agora, Inc."
APLD,Applied Digital Corporation
APLE,"Apple Hospitality REIT, Inc."
APLM,"Apollomics, Inc."
APLS,"Apellis Pharmaceuticals, Inc."
APLT,"Applied Therapeutics, Inc."
APM,Aptorum Group Limited
APO,"Apollo Global Management, Inc."
APOG,"Apogee Enterprises, Inc."
APP,AppLovin Corporation
APPF,"AppFolio, Inc."
APPN,Appian Corporation
APPS,"Digital Turbine, Inc."
APRE,"Aprea Therapeutics, Inc."
APT,"Alpha Pro Tech, Ltd."
APTO,Aptose Biosciences Inc.
APTV,Aptiv PLC
APVO,Aptevo Therapeutics Inc.
APWC,Asia Pacific Wire & Cable Corporation Limited
APXI,APx Acquisition Corp. I
APYX,Apyx Medical Corporation
AQB,"AquaBounty Technologies, Inc."
AQMS,"Aqua Metals, Inc."
AQN,Algonquin Power & Utilities Corp.
AQST,"Aquestive Therapeutics, Inc."
AQU,Aquaron Acquisition Corp.
AR,Antero Resources Corporation
ARAY,Accuray Incorporated
ARBB,ARB IOT Group Limited
ARBE,Arbe Robotics Ltd.
ARBK,Argo Blockchain plc
ARCB,ArcBest Corporation
ARCC,Ares Capital Corporation
ARCH,"Arch Resources, Inc."
ARCO,Arcos Dorados Holdings Inc.
ARCT,Arcturus Therapeutics Holdings Inc.
ARDT,"Ardent Health Partners, Inc."
ARDX,"Ardelyx, Inc."
ARE,"Alexandria Real Estate Equities, Inc."
AREB,"American Rebel Holdings, Inc."
AREC,American Resources Corporation
AREN,"The Arena Group Holdings, Inc."
ARES,Ares Management Corporation
ARGX,argenx SE
ARHS,"Arhaus, Inc."
ARI,"Apollo Commercial Real Estate Finance, Inc."
ARIS,"Aris Water Solutions, Inc."
ARKO,Arko Corp.
ARKR,Ark Restaurants Corp.
ARL,"American Realty Investors, Inc."
ARLO,"Arlo Technologies, Inc."
ARLP,"Alliance Resource Partners, L.P."
ARM,Arm Holdings plc
ARMK,Aramark
ARMN,Aris Mining Corporation
ARMP,"Armata Pharmaceuticals, Inc."
AROC,"Archrock, Inc."
AROW,Arrow Financial Corporation
ARQ,"Arq, Inc."
ARQQ,Arqit Quantum Inc.
ARQT,"Arcutis Biotherapeutics, Inc."
ARR,"ARMOUR Residential REIT, Inc."
ARRY,"Array Technologies, Inc."
ARTL,"Artelo Biosciences, Inc."
ARTNA,Artesian Resources Corporation
ARTV,"Artiva Biotherapeutics, Inc."
ARTW,"Art's-Way Manufacturing Co., Inc."
ARVN,"Arvinas, Inc."
ARW,"Arrow Electronics, Inc."
ARWR,"Arrowhead Pharmaceuticals, Inc."
AS,"Amer Sports, Inc."
ASA,ASA Gold and Precious Metals Limited
ASAI,Sendas Distribuidora S.A.
ASAN,"Asana, Inc."
ASB,Associated Banc-Corp
ASC,Ardmore Shipping Corporation
ASGN,ASGN Incorporated
ASH,Ashland Inc.
ASIX,AdvanSix Inc.
ASLE,AerSale Corporation
ASM,Avino Silver & Gold Mines Ltd.
ASMB,"Assembly Biosciences, Inc."
ASML,ASML Holding N.V.
ASND,Ascendis Pharma A/S
ASNS,"Actelis Networks, Inc."
ASO,"Academy Sports and Outdoors, Inc."
ASPC,A SPAC III Acquisition Corp.
ASPI,ASP Isotopes Inc.
ASPN,"Aspen Aerogels, Inc."
ASPS,Altisource Portfolio Solutions S.A.
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V."
ASRT,"Assertio Holdings, Inc."
ASRV,"AmeriServ Financial, Inc."
ASST,Asset Entities Inc.
ASTC,Astrotech Corporation
ASTE,"Astec Industries, Inc."
ASTH,"Astrana Health, Inc."
ASTI,"Ascent Solar Technologies, Inc."
ASTL,Algoma Steel Group Inc.
ASTS,"AST SpaceMobile, Inc."
ASUR,"Asure Software, Inc."
ASX,"ASE Technology Holding Co., Ltd."
ASYS,"Amtech Systems, Inc."
ATAI,Atai Life Sciences N.V.
ATAT,Atour Lifestyle Holdings Limited
ATCH,"AtlasClear Holdings, Inc."
ATEC,"Alphatec Holdings, Inc."
ATEK,Athena Technology Acquisition Corp. II
ATEN,"A10 Networks, Inc."
ATER,"Aterian, Inc."
ATEX,Anterix Inc.
ATGE,Adtalem Global Education Inc.
ATGL,Alpha Technology Group Limited
ATHA,"Athira Pharma, Inc."
ATHE,Alterity Therapeutics Limited
ATHM,Autohome Inc.
ATI,ATI Inc.
ATIF,ATIF Holdings Limited
ATKR,Atkore Inc.
ATLC,Atlanticus Holdings Corporation
ATLO,Ames National Corporation
ATLX,Atlas Lithium Corporation
ATMC,AlphaTime Acquisition Corp
ATMU,Atmus Filtration Technologies Inc.
ATMV,AlphaVest Acquisition Corp
ATNF,180 Life Sciences Corp.
ATNI,"ATN International, Inc."
ATNM,"Actinium Pharmaceuticals, Inc."
ATO,Atmos Energy Corporation
ATOM,Atomera Incorporated
ATOS,"Atossa Therapeutics, Inc."
ATPC,Agape ATP Corporation
ATR,"AptarGroup, Inc."
ATRA,"Atara Biotherapeutics, Inc."
ATRC,"AtriCure, Inc."
ATRO,Astronics Corporation
ATS,ATS Corporation
ATSG,"Air Transport Services Group, Inc."
ATUS,"Altice USA, Inc."
ATXG,Addentax Group Corp.
ATXI,"Avenue Therapeutics, Inc."
ATXS,"Astria Therapeutics, Inc."
ATYR,"aTyr Pharma, Inc."
AU,AngloGold Ashanti plc
AUB,Atlantic Union Bankshares Corporation
AUBN,"Auburn National Bancorporation, Inc."
AUDC,AudioCodes Ltd.
AUID,authID Inc.
AUMN,Golden Minerals Company
AUNA,Auna S.A.
AUPH,Aurinia Pharmaceuticals Inc.
AUR,"Aurora Innovation, Inc."
AURA,"Aura Biosciences, Inc."
AUST,Austin Gold Corp.
AUTL,Autolus Therapeutics plc
AUUD,Auddia Inc.
AVA,Avista Corporation
AVAH,Aveanna Healthcare Holdings Inc.
AVAL,Grupo Aval Acciones y Valores S.A.
AVAV,"AeroVironment, Inc."
AVB,"AvalonBay Communities, Inc."
AVBP,"ArriVent BioPharma, Inc."
AVD,American Vanguard Corporation
AVDL,Avadel Pharmaceuticals plc
AVDX,"AvidXchange Holdings, Inc."
AVGO,Broadcom Inc.
AVGR,"Avinger, Inc."
AVIR,"Atea Pharmaceuticals, Inc."
AVNS,"Avanos Medical, Inc."
AVNT,Avient Corporation
AVNW,"Aviat Networks, Inc."
AVO,"Mission Produce, Inc."
AVPT,"AvePoint, Inc."
